skull length,teeth row,palatine foramen,jaw length,species
298.261102,49.54394,48.66454,103.1874,exulans
299.661342,45.17584,50.65786,112.806,exulans
324.00669,48.05827,54.88021,116.5792,exulans
316.81733,47.41144,55.43373,125.1312,exulans
310.825392,45.5352,57.9427,119.065,exulans
327.423129,47.73204,48.92113,121.6545,exulans
303.72523,46.1568,49.5088,117.3014,exulans
303.662294,47.34598,55.73164,118.7323,exulans
307.447964,46.12787,57.93869,108.8317,exulans
310.823569,48.72396,48.92026,115.4827,exulans
324.156587,47.57201,50.31509,119.4746,exulans
296.226261,50.58541,52.23508,111.9786,exulans
326.961472,46.94571,55.49791,107.6386,exulans
307.400717,50.06952,56.10724,118.2631,exulans
325.755108,45.86575,51.14679,123.3667,exulans
310.067993,47.06056,52.27641,122.4146,exulans
294.398375,47.7872,56.65673,122.4357,exulans
281.958879,46.18614,48.90388,115.9611,exulans
306.556015,48.25858,52.50124,124.7776,exulans
320.173778,45.04366,58.39847,124.0639,exulans
316.910491,48.74791,50.34513,112.2921,exulans
305.792879,48.87803,47.71364,115.6569,exulans
322.88901,48.05599,50.98221,108.1735,exulans
299.976339,48.04367,49.07866,112.9305,exulans
394.379704,69.93922,61.39232,168.0483,argentiventer
395.286526,63.20621,51.00657,190.8342,argentiventer
387.172606,67.29169,79.08335,122.4265,argentiventer
361.962504,69.55596,89.30568,143.9559,argentiventer
395.29662,69.99807,72.71375,137.8016,argentiventer
422.117916,67.03456,74.48138,154.0473,argentiventer
423.764541,68.27889,64.40071,160.5319,argentiventer
349.541892,71.87544,68.34411,186.3103,argentiventer
350.214506,71.57683,55.10419,188.9688,argentiventer
431.482751,63.18964,78.76234,166.5173,argentiventer
355.573333,67.06371,73.66476,164.0863,argentiventer
393.605386,68.23625,70.36937,151.4667,argentiventer
391.697493,67.00604,61.48495,124.898,argentiventer
379.954947,66.05499,60.50921,142.7915,argentiventer
373.897921,68.48475,70.107,180.9091,argentiventer
303.643709,65.15969,80.76644,173.5055,argentiventer
444.401355,67.52983,65.11616,155.7346,argentiventer
410.070541,76.98432,88.79944,138.5267,argentiventer
